year,month,incoming_ton,operation_rate,lng_nm3,electricity_kwh,esimated_carbon
2018,1,24611.99,89.32,8360,2169972,
2018,2,23078.1,76.83,12305,1720152,
2018,3,22766.03,90.67,33950,2088828,
2018,4,17934.56,92.8,6006,1743624,
2018,5,4111.04,91.94,43897,802044,
2018,6,18919.27,90.5,21213,2001096,
2018,7,23119.61,90.97,9375,2311956,
2018,8,25528.18,91.77,12871,2558232,
2018,9,22575.96,91.66,9605,2440476,
2018,10,26937.99,92.4,13877,2529504,
2018,11,24745.09,92.17,8311,2347848,
2018,12,24004.9,92.38,22915,2448252,
2019,1,25992.49,90.68,20768,2432196,
2019,2,21110.01,89.58,31407,2048832,
2019,3,20341.81,86.59,24565,2369664,
2019,4,5808.78,93.29,24161,1244628,
2019,5,9114.98,91.83,71479,840888,
2019,6,19055.32,92.07,27969,2388276,
2019,7,25986.76,92.56,15795,2578032,
2019,8,27547.91,92.7,15997,2535228,
2019,9,22948.15,92.55,18503,2463444,
2019,10,26476.11,92.44,2736,3180132,
2019,11,23947.84,92.62,28380,2241684,
2019,12,24875.96,91.18,20918,2510604,
2020,1,23549.26,87,13620,2473668,
2020,2,22218.8,84,13639,2272896,
2020,3,19534.21,66,12062,2125116,
2020,4,14766.45,54,4029,1860624,
2020,5,1515.06,29,8316,722916,
2020,6,15108.8,79,42237,1684224,
2020,7,24110.02,91,18687,2427120,
2020,8,26249.76,91,22257,2406348,
2020,9,25605.87,88,22299,2364660,
2020,10,22797.13,90,22314,2470860,
2020,11,24942.01,84,22672,2264904,
2020,12,23686.43,86,9668,2390832,
2021,1,25823,88,17121,2337228,
2021,2,18492,83,44953,1707192,
2021,3,20163,89,69991,2234772,
2021,4,16364,91,63941,2113164,
2021,5,1072,93,26563,764244,
2021,6,23014,93,39214,2237220,
2021,7,25423,91,28174,2425680,
2021,8,24196,91,12703,2554308,
2021,9,25201,88,16833,2293992,
2021,10,23268,88,20405,2300544,
2021,11,25381,90,7472,2387988,
2021,12,24795,88,9335,2339496,
2022,1,22392,87,41121,2244528,
2022,2,17644,86,20817,2132532,
2022,3,21942,83,20243,2340504,
2022,4,5468,81,20127,1400256,
2022,5,5229,92,43034,723564,
2022,6,22720,90,47082,2327508,
2022,7,20844,90,20142,2610900,
2022,8,25596,90,35473,2460060,
2022,9,24364,89,13485,2566152,
2022,10,24584,90,33122,2567700,
2022,11,21517,91,20452,2482092,
2022,12,26656,90,18732,2635560,
2023,1,21343,89,49090,2445660,
2023,2,21613,89,22919,2255724,
2023,3,24248,98,18377,2641536,
2023,4,8864,85,6859,1489428,
2023,5,3615,90,39882,592848,
2023,6,17597,89,23933,1892880,
2023,7,23195,89,17623,2315448,
2023,8,26587,90,10803,,
2023,9,23884,90,19348,2215692,
2023,10,23140,87,14701,2224872,
2023,11,18279,88,41467,1788192,
2024,1,23092,88,36611,2147508,
2024,2,21761,88,10358,2033892,
2024,3,22882,88,11567,2301012,
2024,4,11635,88,9770,1409724,
2024,5,1269,102,72992,420804,
2024,6,20513,82,13500,2031768,
2024,7,24365,87,42402,2259252,
2024,8,24389,85,9419,2337084,
2024,9,25589,89,17088,2308968,
2024,10,24256,90,19130,2297844,
2024,11,21423,88,19028,1788192,
2024,12,21869,89,14839,2116116,
2025,1,25429,88,12337,2245932,
2025,2,21347,88,20014,2040840,
2025,3,21354,83,20133,2077092,
2025,4,18833,88,15328,1911204,
2025,5,6190,90,20536,1281348,
2025,6,2966,91,63535,491868,
2025,7,23103,89,41501,2199384,
2025,8,23781,88,36223,2372364,
2025,9,26107,89,85059,2262060,
2025,10,22511,88,83997,2244276,
2025,11,21005,89,73370,1929744,
2025,12,22929,90,28177,2203056,
2026,1,24608,88,4279,2265156,
2026,2,22175,88,10563,2037528,
2026,3,23512,88,32245,2169216,
2026,4,22326,89,17532,2140740,
